x,y,z,r00,r11,r01_real,r01_imag
0.226,0.139,0.709,0.7186940045761011,0.28130599542389895,-0.268938917547491,0.3567617297985131
0.365,0.654,0.923,0.9222822681827224,0.07771773181727742,-0.13893503390937786,-0.16697728517877553
0.824,0.404,0.527,0.5395497140084334,0.46045028599156657,0.2959273019064275,0.07885865177745123
0.336,0.469,0.159,0.14372056038128483,0.8562794396187151,-0.14194350434153977,0.020161903338375954
0.322,0.409,0.81,0.7948312848226716,0.2051687151773283,-0.18830736430188763,0.10786330470255436
0.733,0.256,0.421,0.4003388773931833,0.5996611226068167,0.22631519320088292,0.2475051155981765
0.502,0.388,0.373,0.3683862925472674,0.6316137074527325,0.014312009455874497,0.11366035510094512
0.494,0.268,0.097,0.10470100471772237,0.8952989952822776,0.008315027167329592,0.22567358639891322
0.181,0.759,0.219,0.2338887969487942,0.7661112030512057,-0.30954000609545784,-0.2691287371573269
0.603,0.3,0.061,0.08202345997810441,0.9179765400218955,0.10059438389353127,0.20911220157089497
0.295,0.341,0.525,0.5360475277680107,0.46395247223198943,-0.2121485917838231,0.14218169598704788
0.377,0.358,0.04,0.04986123104088783,0.9501387689591122,-0.1379225559114142,0.156983491291171
0.945,0.536,0.388,0.399174167485156,0.6008258325148439,0.4520953515093045,-0.019306823753696675
0.391,0.403,0.312,0.2934558015961051,0.7065441984038949,-0.1046665003094923,0.12387078485619464
0.532,0.564,0.054,0.0597131265456833,0.9402868734543167,0.03942714173534161,-0.055330040379960435
0.38,0.201,0.198,0.19328911501569015,0.8067108849843097,-0.11768168251910613,0.3098973158618272
0.268,0.372,0.396,0.38413085898891086,0.615869141011089,-0.22042773610914426,0.13357289785340334
0.109,0.378,0.55,0.5367108683216066,0.4632891316783933,-0.3677836935784691,0.09599657662844704
0.45,0.267,0.815,0.8133888147749612,0.18661118522503886,-0.07288742613907115,0.21989012221520543
0.671,0.485,0.042,0.04424589421008895,0.955754105789911,0.19189652306180224,-0.0011289661671351323
0.855,0.188,0.529,0.5513343169483319,0.44866568305166804,0.35400701299320125,0.31847325168831553
0.491,0.214,0.17,0.15639851147349054,0.8436014885265094,-0.0004201798167967959,0.2555800976215923
0.911,0.358,0.501,0.4811461597691682,0.5188538402308318,0.40167579183898755,0.13090741593636376
0.456,0.389,0.387,0.3826010546000352,0.617398945399965,-0.03295775699047757,0.10845954359993615
0.858,0.336,0.249,0.2399936132149264,0.7600063867850736,0.3641658684382729,0.1642461266614121
0.421,0.371,0.082,0.08630545764962176,0.9136945423503782,-0.09164327180382885,0.11527236439501383
0.285,0.354,0.345,0.3719335115507831,0.628066488449217,-0.1952912047679973,0.16301171271645765
0.77,0.828,0.392,0.4006346512531085,0.5993653487468915,0.2914173001139807,-0.31634509833837077
0.463,0.819,0.502,0.5146597305465223,0.48534026945347786,-0.035239468384081214,-0.32045950477896246
0.554,0.534,0.082,0.07905311843085505,0.9209468815691448,0.054739824631501,-0.031617318050862896
0.337,0.414,0.102,0.10696408836961956,0.8930359116303804,-0.15449982413694188,0.06587608008587299
0.451,0.426,0.445,0.4269716827672001,0.5730283172327998,-0.05328894476085302,0.07606324724173774
0.189,0.644,0.267,0.27136096443589236,0.7286390355641078,-0.2813000355030628,-0.15564026299078682
0.142,0.446,0.436,0.4251876227790192,0.5748123772209807,-0.3691126749929252,0.07545372459447061
0.533,0.995,0.475,0.4763376512358548,0.5236623487641453,0.05273675907041218,-0.4903556059689514
0.365,0.219,0.499,0.4675498341536331,0.532450165846367,-0.13098849065485405,0.2747966841788731
0.132,0.463,0.518,0.5180995659372162,0.48190043406278377,-0.3802065252285098,0.03850676995273791
0.482,0.518,0.22,0.24077504844949427,0.7592249515505057,-0.010661612281346784,-0.017042858869738692
0.314,0.749,0.371,0.38316290960412247,0.6168370903958775,-0.20163086703550126,-0.26240439138006405
0.531,0.358,0.466,0.44579282269834,0.5542071773016599,0.021869483717176064,0.1417319577284744
0.583,0.73,0.273,0.30478249627540455,0.6952175037245955,0.08432178387361258,-0.23014093227526192
0.62,0.538,0.167,0.16518215270566838,0.8348178472943317,0.12196755873649098,-0.009908341575988562
0.658,0.291,0.501,0.49723894668768415,0.5027610533123158,0.1600747994740902,0.18442180465232602
0.414,0.759,0.367,0.3878249427170958,0.6121750572829043,-0.09128879991212553,-0.24020851029265805
0.623,0.381,0.341,0.35709290981389985,0.6429070901861001,0.12746455402221132,0.10517659682092445
0.558,0.422,0.726,0.7153791161222431,0.2846208838777568,0.07130566887988676,0.053525526070779046
0.428,0.144,0.217,0.20037025764848126,0.7996297423515186,-0.06833833333414137,0.34385450761710695
0.768,0.664,0.396,0.4003816354378905,0.5996183645621094,0.27699492381290747,-0.1841866812237333
0.798,0.545,0.829,0.8401979562032901,0.15980204379671004,0.28434975469047485,-0.048490959334017536
0.61,0.687,0.202,0.1883374509730974,0.8116625490269027,0.12079526834279854,-0.19644842144824848
0.593,0.539,0.066,0.05940885131656098,0.9405911486834391,0.0633250787481867,-0.04307602883431479
0.282,0.095,0.692,0.70685071821422,0.2931492817857801,-0.19972787189122243,0.4038721416039411
0.626,0.203,0.572,0.575000152207,0.42499984779300004,0.14690662784158168,0.29892397208019617
0.506,0.492,0.046,0.04245515088178252,0.9575448491182175,0.001424365377077526,0.00309372763252841
0.627,0.639,0.068,0.07930106716162807,0.920698932838372,0.10809139553689809,-0.1371638367737617
0.262,0.66,0.087,0.08986417057426167,0.9101358294257382,-0.23440917960079136,-0.1618763019593251
0.705,0.256,0.207,0.21374193090432975,0.7862580690956703,0.20649437754062125,0.24217213645570013
0.34,0.654,0.082,0.07298234776613735,0.9270176522338626,-0.14143284153957236,-0.16856561010051727
0.626,0.684,0.18,0.1914205882352381,0.8085794117647619,0.11679201323984494,-0.17796963743007083
0.646,0.412,0.053,0.04659020962010323,0.9534097903798967,0.1249386228651692,0.08676267921495433
0.695,0.214,0.169,0.17944389859464396,0.8205561014053561,0.17371249011466858,0.2704913113014665
0.086,0.332,0.656,0.6718062879221506,0.3281937120778494,-0.40187370703863684,0.16581090885451613
0.727,0.609,0.349,0.3545011290258661,0.6454988709741338,0.23652020451328315,-0.09915578750173414
0.28,0.142,0.363,0.3621970015936236,0.6378029984063763,-0.2200461535068806,0.34585590657199455
0.282,0.243,0.268,0.2669624583652011,0.7330375416347988,-0.22814792481256238,0.23705982929937955
0.724,0.361,0.706,0.6987065971843505,0.30129340281564954,0.1959023954637159,0.1293654691555873
0.202,0.366,0.146,0.1435647139739328,0.8564352860260672,-0.31072737075110407,0.13021483341506587
0.402,0.824,0.825,0.8339631462804232,0.16603685371957685,-0.09146442854602671,-0.32768035725567485
0.566,0.646,0.348,0.36801402269938294,0.6319859773006171,0.03415960978821474,-0.1522068492459117
0.481,0.51,0.001,0.0006568229720436851,0.9993431770279563,-0.015609025253650837,-0.006146007825653133
